THREADS, # GENERATIONS (100 avg), AVG TIME(micros)
3,44.75,1467.75
4,69.52,1987.07
5,96.54,2742.12
6,124.99,3488.45
7,143.30,3750.42
8,190.72,5129.35
9,211.87,6006.22
10,250.30,7655.66
11,281.41,7671.59
12,305.20,8076.19
13,328.46,8976.87
14,383.65,10577.08
15,425.42,11887.51
