THREADS, # GENERATIONS (100 avg), AVG TIME(micros)
3,66.27,234.52
4,112.59,287.68
5,146.00,414.04
6,183.55,497.07
7,252.63,660.47
8,273.60,755.04
9,323.86,821.70
10,387.33,993.04
11,430.46,1072.62
12,508.86,1203.30
13,533.10,1161.43
14,584.01,1343.81
15,654.45,1463.04
