THREADS, # GENERATIONS (100 avg), AVG TIME(micros)
3,73.69,201.19
4,108.06,252.80
5,154.22,450.29
6,180.91,561.06
7,235.27,693.24
8,276.33,649.11
9,313.60,902.82
10,398.37,1042.81
11,452.63,1161.02
12,509.67,1207.46
13,542.01,1231.47
14,559.41,1405.46
15,667.65,1489.49
