THREADS, # GENERATIONS (100 avg), AVG TIME(micros)
3,160.81,63.93
4,248.31,117.83
5,309.73,126.18
6,419.97,193.33
7,522.68,243.72
8,659.39,419.90
9,830.34,383.92
10,911.89,420.35
11,984.97,474.57
12,1111.94,517.85
13,1258.85,592.89
14,1319.17,654.08
15,1448.62,693.69
