LENGTH, # GENERATIONS (%100 avg), Time(microsec)
3,122.93,413.78
4,201.13,324.69
5,278.78,365.50
6,361.35,299.69
7,477.91,298.41
8,549.36,393.21
9,754.18,501.64
10,856.67,523.39
11,1095.28,883.28
12,1036.33,657.38
13,1228.50,749.77
14,1378.74,1055.06
15,1513.98,1109.44
